###################################################
                                                   
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY              
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY              
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY              
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY        #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY        #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY        #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY        #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #     
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #CCYYB
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    #CCYYB
CYBG CYBGW YBGWC BGWCY GWCYB WCYBG CY   #    ######
                                        #          
                                        #          
#########################################          
                                                   
                                                   
                                                   
                                                   
                                                   
